source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000008-P341	Homo sapiens	Blood plasma	not available	not available	not available	345	study sample	blood plasma	PAD000008-r00345-P341	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P292	Homo sapiens	Blood plasma	not available	not available	not available	346	study sample	blood plasma	PAD000008-r00346-P292	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P296	Homo sapiens	Blood plasma	not available	not available	not available	347	study sample	blood plasma	PAD000008-r00347-P296	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P334	Homo sapiens	Blood plasma	not available	not available	not available	348	study sample	blood plasma	PAD000008-r00348-P334	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P319	Homo sapiens	Blood plasma	not available	not available	not available	349	study sample	blood plasma	PAD000008-r00349-P319	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P298	Homo sapiens	Blood plasma	not available	not available	not available	350	study sample	blood plasma	PAD000008-r00350-P298	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P316	Homo sapiens	Blood plasma	not available	not available	not available	351	study sample	blood plasma	PAD000008-r00351-P316	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P311	Homo sapiens	Blood plasma	not available	not available	not available	352	study sample	blood plasma	PAD000008-r00352-P311	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230314-organ damage -plate 4	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P424	Homo sapiens	Blood plasma	not available	not available	not available	353	study sample	blood plasma	PAD000008-r00353-P424	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P364	Homo sapiens	Blood plasma	not available	not available	not available	354	study sample	blood plasma	PAD000008-r00354-P364	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P383	Homo sapiens	Blood plasma	not available	not available	not available	355	study sample	blood plasma	PAD000008-r00355-P383	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P361	Homo sapiens	Blood plasma	not available	not available	not available	356	study sample	blood plasma	PAD000008-r00356-P361	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P416	Homo sapiens	Blood plasma	not available	not available	not available	357	study sample	blood plasma	PAD000008-r00357-P416	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P410	Homo sapiens	Blood plasma	not available	not available	not available	358	study sample	blood plasma	PAD000008-r00358-P410	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P362	Homo sapiens	Blood plasma	not available	not available	not available	359	study sample	blood plasma	PAD000008-r00359-P362	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P377	Homo sapiens	Blood plasma	not available	not available	not available	360	study sample	blood plasma	PAD000008-r00360-P377	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P376	Homo sapiens	Blood plasma	not available	not available	not available	361	study sample	blood plasma	PAD000008-r00361-P376	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P384	Homo sapiens	Blood plasma	not available	not available	not available	362	study sample	blood plasma	PAD000008-r00362-P384	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P406	Homo sapiens	Blood plasma	not available	not available	not available	363	study sample	blood plasma	PAD000008-r00363-P406	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P432	Homo sapiens	Blood plasma	not available	not available	not available	364	study sample	blood plasma	PAD000008-r00364-P432	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P372	Homo sapiens	Blood plasma	not available	not available	not available	365	study sample	blood plasma	PAD000008-r00365-P372	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P392	Homo sapiens	Blood plasma	not available	not available	not available	366	study sample	blood plasma	PAD000008-r00366-P392	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P368	Homo sapiens	Blood plasma	not available	not available	not available	367	study sample	blood plasma	PAD000008-r00367-P368	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P431	Homo sapiens	Blood plasma	not available	not available	not available	368	study sample	blood plasma	PAD000008-r00368-P431	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P365	Homo sapiens	Blood plasma	not available	not available	not available	369	study sample	blood plasma	PAD000008-r00369-P365	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P405	Homo sapiens	Blood plasma	not available	not available	not available	370	study sample	blood plasma	PAD000008-r00370-P405	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P404	Homo sapiens	Blood plasma	not available	not available	not available	371	study sample	blood plasma	PAD000008-r00371-P404	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P427	Homo sapiens	Blood plasma	not available	not available	not available	372	study sample	blood plasma	PAD000008-r00372-P427	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P386	Homo sapiens	Blood plasma	not available	not available	not available	373	study sample	blood plasma	PAD000008-r00373-P386	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P414	Homo sapiens	Blood plasma	not available	not available	not available	374	study sample	blood plasma	PAD000008-r00374-P414	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P382	Homo sapiens	Blood plasma	not available	not available	not available	375	study sample	blood plasma	PAD000008-r00375-P382	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P354	Homo sapiens	Blood plasma	not available	not available	not available	376	study sample	blood plasma	PAD000008-r00376-P354	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P394	Homo sapiens	Blood plasma	not available	not available	not available	377	study sample	blood plasma	PAD000008-r00377-P394	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P379	Homo sapiens	Blood plasma	not available	not available	not available	378	study sample	blood plasma	PAD000008-r00378-P379	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P388	Homo sapiens	Blood plasma	not available	not available	not available	379	study sample	blood plasma	PAD000008-r00379-P388	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P380	Homo sapiens	Blood plasma	not available	not available	not available	380	study sample	blood plasma	PAD000008-r00380-P380	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P360	Homo sapiens	Blood plasma	not available	not available	not available	381	study sample	blood plasma	PAD000008-r00381-P360	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P398	Homo sapiens	Blood plasma	not available	not available	not available	382	study sample	blood plasma	PAD000008-r00382-P398	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P358	Homo sapiens	Blood plasma	not available	not available	not available	383	study sample	blood plasma	PAD000008-r00383-P358	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P439	Homo sapiens	Blood plasma	not available	not available	not available	384	study sample	blood plasma	PAD000008-r00384-P439	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P425	Homo sapiens	Blood plasma	not available	not available	not available	385	study sample	blood plasma	PAD000008-r00385-P425	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P387	Homo sapiens	Blood plasma	not available	not available	not available	386	study sample	blood plasma	PAD000008-r00386-P387	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P413	Homo sapiens	Blood plasma	not available	not available	not available	387	study sample	blood plasma	PAD000008-r00387-P413	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P434	Homo sapiens	Blood plasma	not available	not available	not available	388	study sample	blood plasma	PAD000008-r00388-P434	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P400	Homo sapiens	Blood plasma	not available	not available	not available	389	study sample	blood plasma	PAD000008-r00389-P400	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P440	Homo sapiens	Blood plasma	not available	not available	not available	390	study sample	blood plasma	PAD000008-r00390-P440	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P417	Homo sapiens	Blood plasma	not available	not available	not available	391	study sample	blood plasma	PAD000008-r00391-P417	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P420	Homo sapiens	Blood plasma	not available	not available	not available	392	study sample	blood plasma	PAD000008-r00392-P420	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P408	Homo sapiens	Blood plasma	not available	not available	not available	393	study sample	blood plasma	PAD000008-r00393-P408	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P428	Homo sapiens	Blood plasma	not available	not available	not available	394	study sample	blood plasma	PAD000008-r00394-P428	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P412	Homo sapiens	Blood plasma	not available	not available	not available	395	study sample	blood plasma	PAD000008-r00395-P412	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P411	Homo sapiens	Blood plasma	not available	not available	not available	396	study sample	blood plasma	PAD000008-r00396-P411	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000008-P436	Homo sapiens	Blood plasma	not available	not available	not available	397	study sample	blood plasma	PAD000008-r00397-P436	protein expression profiling by antibody array	1	440sample_NPX_CHART_long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/04/PAD000008/440sample_NPX_CHART_long.npx.csv	Olink Target 96	NPX	20230318-organ damage -plate 5	IPC Normalized	Olink Target 96 Organ Damage(v.3301)	Olink Target 96	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
