source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[genetic modification]	characteristics[genotype]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]	factor value[dose]	factor value[sampling time]	factor value[genotype]
Min6_GlucoseTimeCourse_10min_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	1	run_20140404_EXQ00_FrSa_SA_Min6_Glu_17	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_GlucoseTimeCourse_10min_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	2	run_20140404_EXQ00_FrSa_SA_Min6_Glu_18	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_GlucoseTimeCourse_10min_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	3	run_20140404_EXQ00_FrSa_SA_Min6_Glu_19	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_GlucoseTimeCourse_10min_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	10 minute	not applicable	not applicable	10 minute	enrichment of phosphorylated protein	4	run_20140404_EXQ00_FrSa_SA_Min6_Glu_20	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	10 minute	not applicable
Min6_GlucoseTimeCourse_15min_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	15 minute	not applicable	not applicable	15 minute	enrichment of phosphorylated protein	1	run_20140404_EXQ00_FrSa_SA_Min6_Glu_21	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	15 minute	not applicable
Min6_GlucoseTimeCourse_15min_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	15 minute	not applicable	not applicable	15 minute	enrichment of phosphorylated protein	2	run_20140404_EXQ00_FrSa_SA_Min6_Glu_22	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	15 minute	not applicable
Min6_GlucoseTimeCourse_15min_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	15 minute	not applicable	not applicable	15 minute	enrichment of phosphorylated protein	3	run_20140404_EXQ00_FrSa_SA_Min6_Glu_23	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	15 minute	not applicable
Min6_GlucoseTimeCourse_15min_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	15 minute	not applicable	not applicable	15 minute	enrichment of phosphorylated protein	4	run_20140404_EXQ00_FrSa_SA_Min6_Glu_24	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	15 minute	not applicable
Min6_GlucoseTimeCourse_2.5min_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	2.5 minute	not applicable	not applicable	2.5 minute	enrichment of phosphorylated protein	1	run_20140404_EXQ00_FrSa_SA_Min6_Glu_5	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	2.5 minute	not applicable
Min6_GlucoseTimeCourse_2.5min_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	2.5 minute	not applicable	not applicable	2.5 minute	enrichment of phosphorylated protein	2	run_20140404_EXQ00_FrSa_SA_Min6_Glu_6	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	2.5 minute	not applicable
Min6_GlucoseTimeCourse_2.5min_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	2.5 minute	not applicable	not applicable	2.5 minute	enrichment of phosphorylated protein	3	run_20140404_EXQ00_FrSa_SA_Min6_Glu_7	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	2.5 minute	not applicable
Min6_GlucoseTimeCourse_2.5min_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	2.5 minute	not applicable	not applicable	2.5 minute	enrichment of phosphorylated protein	4	run_20140404_EXQ00_FrSa_SA_Min6_Glu_8	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	2.5 minute	not applicable
Min6_GlucoseTimeCourse_20min_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	20 minute	not applicable	not applicable	20 minute	enrichment of phosphorylated protein	1	run_20140404_EXQ00_FrSa_SA_Min6_Glu_25	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	20 minute	not applicable
Min6_GlucoseTimeCourse_20min_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	20 minute	not applicable	not applicable	20 minute	enrichment of phosphorylated protein	2	run_20140404_EXQ00_FrSa_SA_Min6_Glu_26	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	20 minute	not applicable
Min6_GlucoseTimeCourse_20min_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	20 minute	not applicable	not applicable	20 minute	enrichment of phosphorylated protein	3	run_20140404_EXQ00_FrSa_SA_Min6_Glu_27	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	20 minute	not applicable
Min6_GlucoseTimeCourse_20min_R4	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	20 minute	not applicable	not applicable	20 minute	enrichment of phosphorylated protein	4	run_20140404_EXQ00_FrSa_SA_Min6_Glu_28	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	20 minute	not applicable
Min6_GlucoseTimeCourse_30min_R1	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	1	run_20140404_EXQ00_FrSa_SA_Min6_Glu_29	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
Min6_GlucoseTimeCourse_30min_R2	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	2	run_20140404_EXQ00_FrSa_SA_Min6_Glu_30	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
Min6_GlucoseTimeCourse_30min_R3	Mus musculus	islet of Langerhans	MIN6	CVCL_0431	MIN6	type B pancreatic cell	Mouse Insulinoma	cell line	adult	not available	not available	Dulbecco's Modified Eagle Medium	not available	Glucose	not applicable	16.7 mM	30 minute	not applicable	not applicable	30 minute	enrichment of phosphorylated protein	3	run_20140404_EXQ00_FrSa_SA_Min6_Glu_31	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	not available	20 ppm	300m/z-1600m/z	not applicable	not available	not available	phosphoproteome-glucose-time-course	1	1	20140404_EXQ00_FrSa_SA_Min6_Glu_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable	16.7 mM	30 minute	not applicable
