source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[ion exchange method]	comment[precursor mass tolerance]	comment[salt step]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026127-Sample 64	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 64	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000687	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F3_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08252018_CD3_1M_F3_CID_02.raw	cd4
PXD026127-Sample 65	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 65	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000688	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F4_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08252018_CD3_1M_F4_CID_01.raw	cd4
PXD026127-Sample 66	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 66	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000689	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08252018_CD3_1M_F4_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08252018_CD3_1M_F4_CID_02.raw	cd4
PXD026127-Sample 67	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 67	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000691	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F5_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08262018_CD3_1M_F5_CID_01.raw	cd4
PXD026127-Sample 68	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 68	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000692	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F5_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08262018_CD3_1M_F5_CID_02.raw	cd4
PXD026127-Sample 69	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 69	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000693	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F6_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08262018_CD3_1M_F6_CID_01.raw	cd4
PXD026127-Sample 70	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 70	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000694	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F6_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08262018_CD3_1M_F6_CID_02.raw	cd4
PXD026127-Sample 71	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 71	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000696	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F7_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08262018_CD3_1M_F7_CID_01.raw	cd4
PXD026127-Sample 72	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 72	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000697	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F7_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08262018_CD3_1M_F7_CID_02.raw	cd4
PXD026127-Sample 73	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 73	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000698	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F8_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	1	LCA_08262018_CD3_1M_F8_CID_01.raw	cd4
PXD026127-Sample 74	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	4	peripheral blood	not available	4	run 74	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000699	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_1M_F8_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	1 M	2	LCA_08262018_CD3_1M_F8_CID_02.raw	cd4
