source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[diet duration]	characteristics[diet]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[diet duration]	factor value[treatment]
mouse_49	Mus musculus	blood plasma	not applicable	7	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_49	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_50	Mus musculus	blood plasma	not applicable	8	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_50	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_51	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_51	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_53	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_53	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_54	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_54	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_55	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_55_20180920145346	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_55_20180920145346.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_56	Mus musculus	blood plasma	not applicable	7	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_56_20180920161743	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_56_20180920161743.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_57	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_57	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_58	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_58	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_59	Mus musculus	blood plasma	not applicable	7	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_59	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_60	Mus musculus	blood plasma	not applicable	8	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	male	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_60	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_60.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_62	Mus musculus	blood plasma	not applicable	7	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_62	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_63	Mus musculus	blood plasma	not applicable	8	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_63	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_64	Mus musculus	blood plasma	not applicable	9	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_64	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_65	Mus musculus	blood plasma	not applicable	9	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_65	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_66	Mus musculus	blood plasma	not applicable	10	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_66	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_66.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_67	Mus musculus	blood plasma	not applicable	9	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_67	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_69	Mus musculus	blood plasma	not applicable	8	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_69	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_69.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_70	Mus musculus	blood plasma	not applicable	9	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_70_20180920183636	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_70_20180920183636.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_71	Mus musculus	blood plasma	not applicable	10	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_71	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_71.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_72	Mus musculus	blood plasma	not applicable	11	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_72	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_72.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_73	Mus musculus	blood plasma	not applicable	10	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_73	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_73.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_74	Mus musculus	blood plasma	not applicable	11	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_74	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_74.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
