source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sampling site]	characteristics[individual]	characteristics[compound]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[compound]	factor value[sampling time]	factor value[enrichment process]
LS1034-AL-5min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	alpelisib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_AL_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_AL_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	alpelisib	5 minute	enrichment of phosphorylated protein
LS1034-AL-6h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	alpelisib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_AL_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_AL_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	alpelisib	6 hour	enrichment of phosphorylated protein
LS1034-C-15min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	dimethyl sulfoxide	15 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_C_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_C_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	dimethyl sulfoxide	15 minute	enrichment of phosphorylated protein
LS1034-C-1h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	dimethyl sulfoxide	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_C_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_C_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	dimethyl sulfoxide	1 hour	enrichment of phosphorylated protein
LS1034-C-24h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	dimethyl sulfoxide	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_C_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_C_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	dimethyl sulfoxide	24 hour	enrichment of phosphorylated protein
LS1034-C-5min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	dimethyl sulfoxide	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_C_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_C_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	dimethyl sulfoxide	5 minute	enrichment of phosphorylated protein
LS1034-C-6h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	dimethyl sulfoxide	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_C_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_C_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	dimethyl sulfoxide	6 hour	enrichment of phosphorylated protein
LS1034-IM-15min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	imatinib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_IM_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_IM_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	imatinib	15 minute	enrichment of phosphorylated protein
LS1034-IM-1h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	imatinib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_IM_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_IM_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	imatinib	1 hour	enrichment of phosphorylated protein
LS1034-IM-24h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	imatinib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_IM_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_IM_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	imatinib	24 hour	enrichment of phosphorylated protein
LS1034-IM-5min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	imatinib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_IM_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_IM_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	imatinib	5 minute	enrichment of phosphorylated protein
LS1034-IM-6h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	imatinib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_IM_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_IM_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	imatinib	6 hour	enrichment of phosphorylated protein
LS1034-LI-15min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	linsitinib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_LI_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_LI_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	linsitinib	15 minute	enrichment of phosphorylated protein
LS1034-LI-1h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	linsitinib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_LI_1h_rep	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_LI_1h_rep.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	linsitinib	1 hour	enrichment of phosphorylated protein
LS1034-LI-24h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	linsitinib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_LI_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_LI_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	linsitinib	24 hour	enrichment of phosphorylated protein
LS1034-LI-5min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	linsitinib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_LI_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_LI_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	linsitinib	5 minute	enrichment of phosphorylated protein
LS1034-LI-6h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	linsitinib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_LI_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_LI_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	linsitinib	6 hour	enrichment of phosphorylated protein
LS1034-OS-15min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	osimertinib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_OS_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_OS_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	osimertinib	15 minute	enrichment of phosphorylated protein
LS1034-OS-1h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	osimertinib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_OS_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_OS_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	osimertinib	1 hour	enrichment of phosphorylated protein
LS1034-OS-24h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	osimertinib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_OS_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_OS_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	osimertinib	24 hour	enrichment of phosphorylated protein
LS1034-OS-5min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	osimertinib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_OS_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_OS_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	osimertinib	5 minute	enrichment of phosphorylated protein
LS1034-OS-6h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	osimertinib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_OS_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_OS_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	osimertinib	6 hour	enrichment of phosphorylated protein
LS1034-RA-15min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	ralimetinib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_RA_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_RA_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	ralimetinib	15 minute	enrichment of phosphorylated protein
LS1034-RA-1h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	ralimetinib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_RA_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_RA_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	ralimetinib	1 hour	enrichment of phosphorylated protein
LS1034-RA-24h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	ralimetinib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_RA_24h_rep	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_RA_24h_rep.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	ralimetinib	24 hour	enrichment of phosphorylated protein
LS1034-RA-5min-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	ralimetinib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_RA_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_RA_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	ralimetinib	5 minute	enrichment of phosphorylated protein
LS1034-RA-6h-r1-phos	Homo sapiens	caecum	not available	LS1034	CVCL_1382	LS1034	cecum adenocarcinoma	adult	54Y	male	European ancestry	caecum	not applicable	ralimetinib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190419_George_phos_LS_RA_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190419_George_phos_LS_RA_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	LS1034	ralimetinib	6 hour	enrichment of phosphorylated protein
