id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD072100	Candida	include	annotated in this batch	Yarrowia lipolytica (candida lipolytica)	41876849	not available	19	19	Q Exactive HF	not available	Bottom-up proteomics	Mass Spectrometry Proteomics of Engineered Yarrowia lipolytica Strains for Enhanced Carotenoid and Lipid Production Across Two Growth Phases.
PXD073550	Candida	include	annotated in this batch	Candida albicans (yeast)	41781388	not available	3	3	Q Exactive HF	not available	Data-dependent acquisition	Inhibiting Mrt4-rRNA interaction with fumaramidmycin-based derivatives as an unexploited antifungal strategy-qualitative proteomic
PXD074144	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	not available	not available	36	36	HCTultra ETD II	Normalized Spectral Abundance Factor - NSAF	Bottom-up proteomics	Divergence in surface protein exposure between reference and clinical Candida glabrata (Nakaseomyces glabratus) strains (ATCC 2001/CBS138 vs. BG2) – a preliminary proteomic perspec
PXD078067	Candida	include	annotated in this batch	[candida] glabrata cbs 138	not available	10.6019/PXD078067	27	27	Orbitrap Exploris 480	not available	Bottom-up proteomics	Candida glabrata YPK2 is a multidrug susceptibility locus
PXD000112	zebrafish	skip	no cleavage agent stated	Danio rerio (zebrafish) (brachydanio rerio)	not available	not available	2		Bruker Daltonics amaZon series	not available	Bottom-up proteomics	Zebrafish plasma analyzed by CE- and LC-MS/MS
PXD000145	zebrafish	skip	instrument not resolvable per run	Danio rerio (zebrafish) (brachydanio rerio)	24156766	10.6019/PXD000145	249		HCTultra;Bruker Daltonics HCT Series	not available	Bottom-up proteomics	Zebrafish embryo gene and protein expression comparison
PXD000479	zebrafish	skip	instrument not resolvable per run	Danio rerio (zebrafish) (brachydanio rerio)	25060758	not available	944		LTQ Orbitrap Velos;6520A Quadrupole Time-of-Flight LC/MS	not available	Bottom-up proteomics	Annotation of the zebrafish genome through an integrated transcriptomic and proteomic analysis
PXD001164	zebrafish	skip	instrument not resolvable per run	Danio rerio (zebrafish) (brachydanio rerio)	26928226	not available	30		LTQ Orbitrap Velos;Q Exactive	Label free	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Active DNA demethylation during the vertebrate phylotypic period
PXD001876	zebrafish	skip	acquisition mode not stated or mixed across runs	Danio rerio (zebrafish) (brachydanio rerio)	25807930	not available	3		Q Exactive	not available	Affinity purification coupled with mass spectrometry proteomics	Identification of myristoylated proteins in zebrafish (Danio rerio)
PXD002232	zebrafish	skip	labelled quantification stated in the record	Danio rerio (zebrafish) (brachydanio rerio)	26449285	10.6019/PXD002232	32		LTQ Orbitrap Velos	18O	Shotgun proteomics	Zebrafish embryo_phosphorylation_18O labeling
