source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[sampling time]	characteristics[sample type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]	factor value[genotype]	factor value[sampling time]
d50-iDA-wildtype-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	50 day	study sample	cell	3	run aa04339_yh_fk_d50_iDA_Ctrl_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04339_yh_fk_d50_iDA_Ctrl_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	wild type	50 day
d50-iDA-ATP13A2-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ATP13A2	50 day	study sample	cell	1	run aa04200_yh_fk_d50_iDA_ATP13A2_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04200_yh_fk_d50_iDA_ATP13A2_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ATP13A2	50 day
d50-iN-PTT1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	PTT1	50 day	study sample	cell	2	run aa04274_yh_fk_d50_iN_PTT1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04274_yh_fk_d50_iN_PTT1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	PTT1	50 day
d50-iDA-DNAJC5-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	DNAJC5	50 day	study sample	cell	1	run aa04297_yh_fk_d50_iDA_DNAJC5_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04297_yh_fk_d50_iDA_DNAJC5_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	DNAJC5	50 day
d50-iN-HEXB-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	HEXB	50 day	study sample	cell	1	run aa04209_yh_fk_d50_iN_HEXB_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04209_yh_fk_d50_iN_HEXB_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	HEXB	50 day
d50-pool-4	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04194_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04194_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iN-GRN-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	50 day	study sample	cell	3	run aa04269_yh_fk_d50_iN_GRN_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04269_yh_fk_d50_iN_GRN_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GRN	50 day
d50-iN-GBA1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	50 day	study sample	cell	2	run aa04259_yh_fk_d50_iN_GBA1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04259_yh_fk_d50_iN_GBA1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GBA1	50 day
d50-iDA-GRN-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	50 day	study sample	cell	2	run aa04318_yh_fk_d50_iDA_GRN_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04318_yh_fk_d50_iDA_GRN_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GRN	50 day
d50-iN-HEXB-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	HEXB	50 day	study sample	cell	2	run aa04238_yh_fk_d50_iN_HEXB_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04238_yh_fk_d50_iN_HEXB_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	HEXB	50 day
d50-iDA-MCOLN1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	MCOLN1	50 day	study sample	cell	1	run aa04307_yh_fk_d50_iDA_MCOLN1_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04307_yh_fk_d50_iDA_MCOLN1_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	MCOLN1	50 day
d50-iN-CLN3-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CLN3	50 day	study sample	cell	1	run aa04239_yh_fk_d50_iN_CLN3_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04239_yh_fk_d50_iN_CLN3_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CLN3	50 day
d50-iDA-ASAH1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	50 day	study sample	cell	2	run aa04224_yh_fk_d50_iDA_ASAH1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04224_yh_fk_d50_iDA_ASAH1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ASAH1	50 day
d50-iDA-HEXB-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	HEXB	50 day	study sample	cell	1	run aa04300_yh_fk_d50_iDA_HEXB_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04300_yh_fk_d50_iDA_HEXB_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	HEXB	50 day
d50-iDA-ATP13A2-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ATP13A2	50 day	study sample	cell	3	run aa04246_yh_fk_d50_iDA_ATP13A2_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04246_yh_fk_d50_iDA_ATP13A2_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ATP13A2	50 day
d50-iDA-GBA1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	50 day	study sample	cell	1	run aa04234_yh_fk_d50_iDA_GBA1_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04234_yh_fk_d50_iDA_GBA1_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GBA1	50 day
d50-iDA-CLN6-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	CLN6	50 day	study sample	cell	2	run aa04284_yh_fk_d50_iDA_CLN6_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04284_yh_fk_d50_iDA_CLN6_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	CLN6	50 day
d50-iN-GRN-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	50 day	study sample	cell	2	run aa04330_yh_fk_d50_iN_GRN_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04330_yh_fk_d50_iN_GRN_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GRN	50 day
d50-iDA-wildtype-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	50 day	study sample	cell	2	run aa04252_yh_fk_d50_iDA_Ctrl_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04252_yh_fk_d50_iDA_Ctrl_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	wild type	50 day
d50-iDA-NPC1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	NPC1	50 day	study sample	cell	1	run aa04229_yh_fk_d50_iDA_NPC1_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04229_yh_fk_d50_iDA_NPC1_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	NPC1	50 day
d50-pool-5	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04335_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04335_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iN-GRN-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	50 day	study sample	cell	1	run aa04241_yh_fk_d50_iN_GRN_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04241_yh_fk_d50_iN_GRN_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GRN	50 day
d50-iDA-LIPA-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	LIPA	50 day	study sample	cell	1	run aa04240_yh_fk_d50_iDA_LIPA_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04240_yh_fk_d50_iDA_LIPA_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	LIPA	50 day
d50-iDA-DNAJC5-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	DNAJC5	50 day	study sample	cell	2	run aa04226_yh_fk_d50_iDA_DNAJC5_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04226_yh_fk_d50_iDA_DNAJC5_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	DNAJC5	50 day
d50-iN-CLN6-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CLN6	50 day	study sample	cell	1	run aa04237_yh_fk_d50_iN_CLN6_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04237_yh_fk_d50_iN_CLN6_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CLN6	50 day
d50-iDA-HEXB-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	HEXB	50 day	study sample	cell	3	run aa04203_yh_fk_d50_iDA_HEXB_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04203_yh_fk_d50_iDA_HEXB_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	HEXB	50 day
d50-pool-6	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04295_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04295_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iN-CLN8-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CLN8	50 day	study sample	cell	2	run aa04324_yh_fk_d50_iN_CLN8_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04324_yh_fk_d50_iN_CLN8_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CLN8	50 day
d50-iN-CLN3-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CLN3	50 day	study sample	cell	3	run aa04216_yh_fk_d50_iN_CLN3_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04216_yh_fk_d50_iN_CLN3_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CLN3	50 day
d50-pool-7	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04345_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04345_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-SMPD1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	50 day	study sample	cell	2	run aa04342_yh_fk_d50_iDA_SMPD1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04342_yh_fk_d50_iDA_SMPD1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	SMPD1	50 day
d50-iDA-CLN5-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	CLN5	50 day	study sample	cell	2	run aa04210_yh_fk_d50_iDA_CLN5_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04210_yh_fk_d50_iDA_CLN5_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	CLN5	50 day
d50-pool-8	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04205_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04205_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-NPC1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	NPC1	50 day	study sample	cell	2	run aa04230_yh_fk_d50_iDA_NPC1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04230_yh_fk_d50_iDA_NPC1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	NPC1	50 day
d50-iDA-GRN-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	50 day	study sample	cell	1	run aa04289_yh_fk_d50_iDA_GRN_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04289_yh_fk_d50_iDA_GRN_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GRN	50 day
d50-iDA-CTSD-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	CTSD	50 day	study sample	cell	1	run aa04293_yh_fk_d50_iDA_CTSD_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04293_yh_fk_d50_iDA_CTSD_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	CTSD	50 day
d50-iN-MFSD8-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	MFSD8	50 day	study sample	cell	1	run aa04262_yh_fk_d50_iN_MFSD8_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04262_yh_fk_d50_iN_MFSD8_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	MFSD8	50 day
d50-iN-wildtype-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	50 day	study sample	cell	1	run aa04228_yh_fk_d50_iN_Ctrl_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04228_yh_fk_d50_iN_Ctrl_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	wild type	50 day
d50-pool-9	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04275_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04275_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-ASAH1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	50 day	study sample	cell	1	run aa04266_yh_fk_d50_iDA_ASAH1_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04266_yh_fk_d50_iDA_ASAH1_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ASAH1	50 day
