source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
140830_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F10	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140830_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	10	1	140830_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140830_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F5	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	5	1	140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_15min_5	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	5	140716_V3_P5_Co-L_15min_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140826_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F5	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140826_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	5	1	140826_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140826_V3_P5_RN_TiO_HCD-Inc_Co-H_2h_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F10	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	10	1	140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140922_V3_P5_RN_TiO_HCD_Co-H_2h2_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141004_V3_P5_RN_TiO_HCD_Co-H_2h_F4	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	4	1	141004_V3_P5_RN_TiO_HCD_Co-H_2h_F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141004_V3_P5_RN_TiO_HCD_Co-H_2h_F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141003_V3_P5_RN_TiO_HCD_Co-L_2h_F2	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141003_V3_P5_RN_TiO_HCD_Co-L_2h_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	2	1	141003_V3_P5_RN_TiO_HCD_Co-L_2h_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141003_V3_P5_RN_TiO_HCD_Co-L_2h_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140901_V3_P5_RN_pY_CID_Co-H_2h2_test	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140901_V3_P5_RN_pY_CID_Co-H_2h2_test	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140901_V3_P5_RN_pY_CID_Co-H_2h2_test.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140901_V3_P5_RN_pY_CID_Co-H_2h2_test.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140530_V3_P5_TiO_F7_Co-H_2h_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140530_V3_P5_TiO_F7_Co-H_2h_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140530_V3_P5_TiO_F7_Co-H_2h_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140530_V3_P5_TiO_F7_Co-H_2h_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140805_V3_P5_TiO_F1_Co-H_22h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140805_V3_P5_TiO_F1_Co-H_22h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140805_V3_P5_TiO_F1_Co-H_22h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140805_V3_P5_TiO_F1_Co-H_22h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140819_V3_P5_RN_TiO_F11_Co-L_2h2_HCD-Inc	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140819_V3_P5_RN_TiO_F11_Co-L_2h2_HCD-Inc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140819_V3_P5_RN_TiO_F11_Co-L_2h2_HCD-Inc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140819_V3_P5_RN_TiO_F11_Co-L_2h2_HCD-Inc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-H_15min_4	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	4	140716_V3_P5_Co-H_15min_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-H_15min_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-H_15min_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_2h_4	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	4	140716_V3_P5_Co-L_2h_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_2h_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_2h_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140805_V3_P5_TiO_F12_Co-H_22h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140805_V3_P5_TiO_F12_Co-H_22h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140805_V3_P5_TiO_F12_Co-H_22h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140805_V3_P5_TiO_F12_Co-H_22h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_15min_4	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	4	140716_V3_P5_Co-L_15min_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_15min_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_15min_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140516_V3_P5_JMO_Phosphoexp-9-4_15-9_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140516_V3_P5_JMO_Phosphoexp-9-4_15-9_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140516_V3_P5_JMO_Phosphoexp-9-4_15-9_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140516_V3_P5_JMO_Phosphoexp-9-4_15-9_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140526_V3_P5_TiO_F9_Co-L_22h_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140526_V3_P5_TiO_F9_Co-L_22h_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140526_V3_P5_TiO_F9_Co-L_22h_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140526_V3_P5_TiO_F9_Co-L_22h_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140819_V3_P5_RN_TiO_F13_Co-L_2h2_HCD-Inc	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140819_V3_P5_RN_TiO_F13_Co-L_2h2_HCD-Inc	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140819_V3_P5_RN_TiO_F13_Co-L_2h2_HCD-Inc.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140819_V3_P5_RN_TiO_F13_Co-L_2h2_HCD-Inc.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140930_V3_P5_RN_pY_CID_Co-L_2h_8uL	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140930_V3_P5_RN_pY_CID_Co-L_2h_8uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140930_V3_P5_RN_pY_CID_Co-L_2h_8uL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140930_V3_P5_RN_pY_CID_Co-L_2h_8uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-L_22h_5	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	5	140716_V3_P5_Co-L_22h_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-L_22h_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-L_22h_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140716_V3_P5_Co-H_2h_9	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	9	140716_V3_P5_Co-H_2h_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140716_V3_P5_Co-H_2h_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140716_V3_P5_Co-H_2h_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140606_V3_P5_FH_pYIP_Co-H_15m_CID	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140606_V3_P5_FH_pYIP_Co-H_15m_CID	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140606_V3_P5_FH_pYIP_Co-H_15m_CID.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140606_V3_P5_FH_pYIP_Co-H_15m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140728_V3_P5_TiO_F12_Co-H_2h_CID_II	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140728_V3_P5_TiO_F12_Co-H_2h_CID_II	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140728_V3_P5_TiO_F12_Co-H_2h_CID_II.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140728_V3_P5_TiO_F12_Co-H_2h_CID_II.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140602_V3_P5_TiO_F5_Co-H_15m_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140602_V3_P5_TiO_F5_Co-H_15m_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140602_V3_P5_TiO_F5_Co-H_15m_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140602_V3_P5_TiO_F5_Co-H_15m_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
141003_V3_P5_RN_TiO_HCD_Co-L_2h_F5	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	141003_V3_P5_RN_TiO_HCD_Co-L_2h_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	5	1	141003_V3_P5_RN_TiO_HCD_Co-L_2h_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/141003_V3_P5_RN_TiO_HCD_Co-L_2h_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
140530_V3_P5_TiO_F13_Co-H_2h_CID_I	homo sapiens	Epithelial cell	not applicable	not available	enrichment of phosphorylated protein	1	140530_V3_P5_TiO_F13_Co-H_2h_CID_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	sds page	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	140530_V3_P5_TiO_F13_Co-H_2h_CID_I.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD002776/140530_V3_P5_TiO_F13_Co-H_2h_CID_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
