source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[experiment]	factor value[biological replicate]	factor value[acquisition mode]	factor value[data format]
J20201113lisainan_ML_SWATH_3	Mus musculus	Liver	not available	not available	not available	not available	not available	1	J20201113lisainan_ML_SWATH_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	J20201113lisainan_ML_SWATH_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
F20190813gaohh_QCML_DIA_500ng_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	F20190813gaohh_QCML_DIA_500ng_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	F20190813gaohh_QCML_DIA_500ng_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
M20200717_lisainan_mouseliver_twocolumn_DIA_Slot1-2_1_1069.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	M20200717_lisainan_mouseliver_twocolumn_DIA_Slot1-2_1_1069.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	M20200717_lisainan_mouseliver_twocolumn_DIA_Slot1-2_1_1069.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
O20220215wangyr_FAIMS_QCML_DIA_30min_42V_62V_washFunnel_FAMIS	Mus musculus	Liver	not available	not available	not available	not available	not available	1	O20220215wangyr_FAIMS_QCML_DIA_30min_42V_62V_washFunnel_FAMIS	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	O20220215wangyr_FAIMS_QCML_DIA_30min_42V_62V_washFunnel_FAMIS.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
G20200929liangs_ML_1ug_SWATH_30min_3	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20200929liangs_ML_1ug_SWATH_30min_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20200929liangs_ML_1ug_SWATH_30min_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
A20211203yujing_ml_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20211203yujing_ml_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20211203yujing_ml_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20210414yix_ml_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20210414yix_ml_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20210414yix_ml_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20201211yix_ml_30min_DIA4	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20201211yix_ml_30min_DIA4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20201211yix_ml_30min_DIA4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
B20211208jiangwh_DIA_ml_30min_BPRCcolumn1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	B20211208jiangwh_DIA_ml_30min_BPRCcolumn1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	B20211208jiangwh_DIA_ml_30min_BPRCcolumn1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
G20201220liangs_ML_1ug_SWATH_30min_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20201220liangs_ML_1ug_SWATH_30min_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20201220liangs_ML_1ug_SWATH_30min_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
K20200909lyumg_QCML_twocolumn_DIAPASEF_30min_Slot1-3_1_1017.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	K20200909lyumg_QCML_twocolumn_DIAPASEF_30min_Slot1-3_1_1017.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	K20200909lyumg_QCML_twocolumn_DIAPASEF_30min_Slot1-3_1_1017.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
CAD20210816lisainan_twocolumn_ML_30min_DIA_125ng_Slot1-2_1_521.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	CAD20210816lisainan_twocolumn_ML_30min_DIA_125ng_Slot1-2_1_521.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAD20210816lisainan_twocolumn_ML_30min_DIA_125ng_Slot1-2_1_521.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
O20220923zhanggm_FAIMS_QCML0922_DIA_30min_42V_62V	Mus musculus	Liver	not available	not available	not available	not available	not available	1	O20220923zhanggm_FAIMS_QCML0922_DIA_30min_42V_62V	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	O20220923zhanggm_FAIMS_QCML0922_DIA_30min_42V_62V.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
J20210311lisainan_ML_SWATH_3	Mus musculus	Liver	not available	not available	not available	not available	not available	1	J20210311lisainan_ML_SWATH_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	J20210311lisainan_ML_SWATH_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
M20210723zhangc_QCML0508_Tcolumn0502_DIA_Slot1-12_1_8138.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	M20210723zhangc_QCML0508_Tcolumn0502_DIA_Slot1-12_1_8138.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	M20210723zhangc_QCML0508_Tcolumn0502_DIA_Slot1-12_1_8138.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
A20200925xiangn_ml_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20200925xiangn_ml_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200925xiangn_ml_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
D20210610xiaoq_ml_sw_check_ml	Mus musculus	Liver	not available	not available	not available	not available	not available	1	D20210610xiaoq_ml_sw_check_ml	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	D20210610xiaoq_ml_sw_check_ml.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
A20211025yix_ml_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20211025yix_ml_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20211025yix_ml_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
K20201229yujing_QCML1213_twocolumn_DIAPASEF_30min_Slot1-2_1_3035.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	K20201229yujing_QCML1213_twocolumn_DIAPASEF_30min_Slot1-2_1_3035.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	K20201229yujing_QCML1213_twocolumn_DIAPASEF_30min_Slot1-2_1_3035.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
N20210607dongzhen_ml_30min_DIA_Slot1-4_1_5911.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	N20210607dongzhen_ml_30min_DIA_Slot1-4_1_5911.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	N20210607dongzhen_ml_30min_DIA_Slot1-4_1_5911.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
SFHI_20201020wangxf_QCML_1st_DIA_1ug_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	SFHI_20201020wangxf_QCML_1st_DIA_1ug_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	SFHI_20201020wangxf_QCML_1st_DIA_1ug_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
CAD20210911lisainan_twocolumn_ML_30min_DIA_125ng_Slot1-2_1_1074.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	CAD20210911lisainan_twocolumn_ML_30min_DIA_125ng_Slot1-2_1_1074.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAD20210911lisainan_twocolumn_ML_30min_DIA_125ng_Slot1-2_1_1074.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
BPRC_HF5_20200627_MouseLiver_QC_DIA_500ng_R1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	BPRC_HF5_20200627_MouseLiver_QC_DIA_500ng_R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	BPRC_HF5_20200627_MouseLiver_QC_DIA_500ng_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
B20201101xiangn_ml_DIA_500ng_30min_2	Mus musculus	Liver	not available	not available	not available	not available	not available	1	B20201101xiangn_ml_DIA_500ng_30min_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	B20201101xiangn_ml_DIA_500ng_30min_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
G20200207sunr_QCML_SWATH_1ug_3	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20200207sunr_QCML_SWATH_1ug_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20200207sunr_QCML_SWATH_1ug_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
B20210705yix_DIA_ml_30min	Mus musculus	Liver	not available	not available	not available	not available	not available	1	B20210705yix_DIA_ml_30min	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	B20210705yix_DIA_ml_30min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
N20210420jiangwh_ml_30min_DIA_Slot1-4_1_5016.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	N20210420jiangwh_ml_30min_DIA_Slot1-4_1_5016.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	N20210420jiangwh_ml_30min_DIA_Slot1-4_1_5016.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
A20200307yix_ML_30min_500ng_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20200307yix_ML_30min_500ng_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200307yix_ML_30min_500ng_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
CAB20220602shiyq_FAIMS_48v68v_gas4_ML_30min_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	CAB20220602shiyq_FAIMS_48v68v_gas4_ML_30min_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	CAB20220602shiyq_FAIMS_48v68v_gas4_ML_30min_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
M20210909gaohh_QCML0823_Tcolumn0502_DIA_Slot1-3_1_9164.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	M20210909gaohh_QCML0823_Tcolumn0502_DIA_Slot1-3_1_9164.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	M20210909gaohh_QCML0823_Tcolumn0502_DIA_Slot1-3_1_9164.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
G20201105liangs_ML_1ug_SWATH_30min_1	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20201105liangs_ML_1ug_SWATH_30min_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20201105liangs_ML_1ug_SWATH_30min_1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
G20210519liangs_ML_1ug_SWATH5	Mus musculus	Liver	not available	not available	not available	not available	not available	1	G20210519liangs_ML_1ug_SWATH5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	G20210519liangs_ML_1ug_SWATH5.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	SCIEX .wiff
B20211109yix_DIA_ml_30min	Mus musculus	Liver	not available	not available	not available	not available	not available	1	B20211109yix_DIA_ml_30min	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	B20211109yix_DIA_ml_30min.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
A20200623yix_ML_30min_500ng_DIA	Mus musculus	Liver	not available	not available	not available	not available	not available	1	A20200623yix_ML_30min_500ng_DIA	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	A20200623yix_ML_30min_500ng_DIA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Thermo .raw
M20201104_ganlin_mouseliver_twocolumn_DIA_Slot1-2_1_3033.d	Mus musculus	Liver	not available	not available	not available	not available	not available	1	M20201104_ganlin_mouseliver_twocolumn_DIA_Slot1-2_1_3033.d	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	1	M20201104_ganlin_mouseliver_twocolumn_DIA_Slot1-2_1_3033.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	QCML mouse liver digest QC (DIA/DDA)	1	Data-independent acquisition	Bruker .d (zip)
