source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ORBI-RSLC007625	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007625	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007625.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007625.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007606	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007606	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007606.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007606.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005651	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005651	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005651.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005651.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007597	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007597	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007597.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007597.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007622	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007622	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007622.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007622.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007627	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007627	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007627.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007627.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007661	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007661	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007661.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007661.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007639	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007639	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007639.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007639.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007610	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007610	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007610.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007610.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005693	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005693	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005693.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005693.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005669	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005669	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005669.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005669.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007686	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007686	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007686.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007686.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007602	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007602	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007602.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007602.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005684	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005684	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005684.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005684.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005663	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005663	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005663.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005663.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007674	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007674	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007674.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007674.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005650	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005650	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005650.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005650.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005627	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005627	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005627.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005627.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007691	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007691	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007691.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007691.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007689	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007689	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007689.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007689.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005679	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005679	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005679.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005679.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005672	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005672	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005672.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005672.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007657	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007657	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007657.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007657.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007660	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007660	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007660.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007660.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005681	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005681	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005681.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005681.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005652	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005652	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005652.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005652.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007662	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007662	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007662.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007662.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC005677	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC005677	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC005677.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC005677.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007600	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007600	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007600.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007600.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
ORBI-RSLC007585	mus musculus	Skeletal muscle myoblast	not applicable	not available	enrichment of phosphorylated protein	1	ORBI-RSLC007585	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI-RSLC007585.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/01/PXD003211/ORBI-RSLC007585.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle myoblast
