source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[clearing method]	characteristics[genotype]	characteristics[protein extraction method]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[clearing method]	factor value[disease]	factor value[protein extraction method]
mouse brain fresh deep proteome 2	Mus musculus	brain	5	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh02_Fraction14_F4_1_172	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh02_Fraction14_F4_1_172.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	14	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 2	Mus musculus	brain	5	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh02_Fraction15_G4_1_173	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh02_Fraction15_G4_1_173.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	15	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 2	Mus musculus	brain	5	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh02_Fraction16_H4_1_174	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh02_Fraction16_H4_1_174.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	16	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction01_A5_1_175	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction01_A5_1_175.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction02_B5_1_176	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction02_B5_1_176.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	2	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction03_C5_1_177	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction03_C5_1_177.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	3	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction04_D5_1_178	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction04_D5_1_178.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	4	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction05_E5_1_179	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction05_E5_1_179.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	5	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction06_F5_1_180	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction06_F5_1_180.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	6	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction07_G5_1_181	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction07_G5_1_181.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	7	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction08_H5_1_182	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction08_H5_1_182.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	8	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction09_A6_1_183	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction09_A6_1_183.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	9	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction10_B6_1_184	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction10_B6_1_184.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	10	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction11_C6_1_185	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction11_C6_1_185.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	11	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction12_D6_1_186	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction12_D6_1_186.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	12	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction13_E6_1_187	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction13_E6_1_187.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	13	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction14_F6_1_188	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction14_F6_1_188.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	14	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction15_G6_1_189	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction15_G6_1_189.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	15	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain fresh deep proteome 3	Mus musculus	brain	6	not pooled	normal	tissue	not available	C57BL/6J	not available	not available	none (fresh-frozen, uncleared)	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction16_H6_1_190	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_Fresh03_Fraction16_H6_1_190.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	16	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	none (fresh-frozen, uncleared)	normal	SDS-SDC
mouse brain vDISCO deep proteome 1	Mus musculus	brain	4	not pooled	normal	tissue	not available	not available	not available	not available	vDISCO	not available	SDS-SDC	20190509_TIMS2_AnBr_SA_200ng_TM_vDISCO01_Fraction01_A7_1_276	proteomic profiling by mass spectrometry	1	20190509_TIMS2_AnBr_SA_200ng_TM_vDISCO01_Fraction01_A7_1_276.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=CID;AC=MS:1000133	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	20 ppm	40 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=time-of-flight;AC=MS:1000084	100m/z-1700m/z	vDISCO	normal	SDS-SDC
